Query Name,Rank,TF,Score,Library,Overlapping_Genes,Is_STAT1_Target
IFNa30h_enhancer_genes,505,HMGN3,571.8,"ARCHS4 Coexpression,737;ENCODE ChIP-seq,67;ReMap ChIP-seq,199;GTEx Coexpression,1284",,True
IFNa30h_enhancer_genes,506,TFAP2B,572.0,"ARCHS4 Coexpression,500;Enrichr Queries,1101;GTEx Coexpression,115",PARD6G,True
IFNa30h_enhancer_genes,507,ESRRB,572.3,"Literature ChIP-seq,102;ARCHS4 Coexpression,659;Enrichr Queries,1199;GTEx Coexpression,329",,True
IFNa30h_enhancer_genes,508,FOXD4L4,573.0,"ARCHS4 Coexpression,276;GTEx Coexpression,870",,True
IFNa30h_enhancer_genes,509,SOX21,573.0,"ARCHS4 Coexpression,708;Enrichr Queries,938;GTEx Coexpression,73",PARD6G,True
IFNa30h_enhancer_genes,510,ZNF41,573.0,"ARCHS4 Coexpression,376;Enrichr Queries,169;GTEx Coexpression,1174",,True
IFNa30h_enhancer_genes,511,NKX11,573.5,"ARCHS4 Coexpression,42;GTEx Coexpression,1105",PARD6G,True
IFNa30h_enhancer_genes,512,TIGD2,573.7,"ARCHS4 Coexpression,1060;Enrichr Queries,427;GTEx Coexpression,234",,True
IFNa30h_enhancer_genes,513,NKX28,574.0,"ARCHS4 Coexpression,638;GTEx Coexpression,510",,True
IFNa30h_enhancer_genes,514,TCF4,574.0,"Literature ChIP-seq,28;ARCHS4 Coexpression,979;Enrichr Queries,443;ReMap ChIP-seq,270;GTEx Coexpression,1150",,True
IFNa30h_enhancer_genes,515,SP140,575.0,"ARCHS4 Coexpression,1214;Enrichr Queries,68;GTEx Coexpression,443",,True
IFNa30h_enhancer_genes,516,ZSCAN5B,575.7,"ARCHS4 Coexpression,1161;Enrichr Queries,134;GTEx Coexpression,432",,True
IFNa30h_enhancer_genes,517,PHF1,576.0,"ARCHS4 Coexpression,34;GTEx Coexpression,1118",FAM157A,True
IFNa30h_enhancer_genes,518,HIVEP1,577.0,"ARCHS4 Coexpression,1058;Enrichr Queries,517;GTEx Coexpression,156",,True
IFNa30h_enhancer_genes,519,ZNF324,577.0,"ARCHS4 Coexpression,1100;Enrichr Queries,70;GTEx Coexpression,561",,True
IFNa30h_enhancer_genes,520,GLI3,577.3,"ARCHS4 Coexpression,482;Enrichr Queries,1241;GTEx Coexpression,9",PARD6G,True
IFNa30h_enhancer_genes,521,KLF6,577.5,"ARCHS4 Coexpression,627;Enrichr Queries,1039;ReMap ChIP-seq,150;GTEx Coexpression,494",,True
IFNa30h_enhancer_genes,522,ZNF292,578.0,"ARCHS4 Coexpression,516;Enrichr Queries,136;GTEx Coexpression,1082",,True
IFNa30h_enhancer_genes,523,ZNF454,578.0,"ARCHS4 Coexpression,702;Enrichr Queries,24;GTEx Coexpression,1008",,True
IFNa30h_enhancer_genes,524,SIX1,578.0,"ARCHS4 Coexpression,413;Enrichr Queries,672;GTEx Coexpression,649",,True
IFNa30h_enhancer_genes,525,NFYB,578.4,"ARCHS4 Coexpression,1129;ENCODE ChIP-seq,51;Enrichr Queries,128;ReMap ChIP-seq,40;GTEx Coexpression,1544",,True
IFNa30h_enhancer_genes,526,BAZ2B,579.0,"ARCHS4 Coexpression,736;Enrichr Queries,163;GTEx Coexpression,838",,True
IFNa30h_enhancer_genes,527,RFX7,579.0,"ARCHS4 Coexpression,773;Enrichr Queries,185;GTEx Coexpression,779",,True
IFNa30h_enhancer_genes,528,CREB1,580.0,"Literature ChIP-seq,41;ARCHS4 Coexpression,1413;ENCODE ChIP-seq,78;Enrichr Queries,614;ReMap ChIP-seq,11;GTEx Coexpression,1323",,True
IFNa30h_enhancer_genes,529,ZMAT4,580.0,"ARCHS4 Coexpression,521;Enrichr Queries,788;GTEx Coexpression,431",,True
IFNa30h_enhancer_genes,530,EMX2,580.3,"ARCHS4 Coexpression,158;Enrichr Queries,591;GTEx Coexpression,992",,True
IFNa30h_enhancer_genes,531,ZNF16,580.7,"ARCHS4 Coexpression,779;Enrichr Queries,887;GTEx Coexpression,76",PARD6G,True
IFNa30h_enhancer_genes,532,ELF2,581.0,"ARCHS4 Coexpression,1282;Enrichr Queries,240;GTEx Coexpression,221",,True
IFNa30h_enhancer_genes,533,ZNF7,581.3,"ARCHS4 Coexpression,852;Enrichr Queries,541;GTEx Coexpression,351",,True
IFNa30h_enhancer_genes,534,ZSCAN1,581.3,"ARCHS4 Coexpression,190;Enrichr Queries,375;GTEx Coexpression,1179",,True
IFNa30h_enhancer_genes,535,NAIF1,582.5,"ARCHS4 Coexpression,793;GTEx Coexpression,372",,True
IFNa30h_enhancer_genes,536,ZNF582,583.0,"ARCHS4 Coexpression,679;Enrichr Queries,203;GTEx Coexpression,867",,True
IFNa30h_enhancer_genes,537,ZNF18,583.3,"ARCHS4 Coexpression,938;Enrichr Queries,679;GTEx Coexpression,133",FAM157A,True
IFNa30h_enhancer_genes,538,ZNF703,583.3,"ARCHS4 Coexpression,124;Enrichr Queries,1054;GTEx Coexpression,572",,True
IFNa30h_enhancer_genes,539,SPIC,583.3,"ARCHS4 Coexpression,798;Enrichr Queries,264;GTEx Coexpression,688",,True
IFNa30h_enhancer_genes,540,ZBTB2,583.7,"ARCHS4 Coexpression,888;Enrichr Queries,718;GTEx Coexpression,145",,True
IFNa30h_enhancer_genes,541,TCF21,584.8,"Literature ChIP-seq,58;ARCHS4 Coexpression,863;Enrichr Queries,838;GTEx Coexpression,580",,True
IFNa30h_enhancer_genes,542,DNMT1,585.0,"ARCHS4 Coexpression,452;GTEx Coexpression,718",,True
IFNa30h_enhancer_genes,543,CTCFL,586.2,"ARCHS4 Coexpression,898;ENCODE ChIP-seq,30;Enrichr Queries,793;ReMap ChIP-seq,133;GTEx Coexpression,1077",,True
IFNa30h_enhancer_genes,544,MBD4,586.6,"ARCHS4 Coexpression,1037;ENCODE ChIP-seq,82;Enrichr Queries,642;ReMap ChIP-seq,234;GTEx Coexpression,938",,True
IFNa30h_enhancer_genes,545,ZNF30,586.7,"ARCHS4 Coexpression,1086;Enrichr Queries,90;GTEx Coexpression,584",,True
IFNa30h_enhancer_genes,546,ZNF610,586.7,"ARCHS4 Coexpression,1248;Enrichr Queries,98;GTEx Coexpression,414",,True
IFNa30h_enhancer_genes,547,ARNTL2,587.0,"ARCHS4 Coexpression,405;Enrichr Queries,610;GTEx Coexpression,746",,True
IFNa30h_enhancer_genes,548,POU4F2,587.3,"ARCHS4 Coexpression,176;Enrichr Queries,1327;ReMap ChIP-seq,141;GTEx Coexpression,705",,True
IFNa30h_enhancer_genes,549,ETV7,588.0,"ARCHS4 Coexpression,230;Enrichr Queries,1400;GTEx Coexpression,134",PARD6G,True
IFNa30h_enhancer_genes,550,ZNF250,588.3,"ARCHS4 Coexpression,1263;Enrichr Queries,501;GTEx Coexpression,1",PARD6G,True
IFNa30h_enhancer_genes,551,RBAK,588.7,"ARCHS4 Coexpression,1337;Enrichr Queries,147;GTEx Coexpression,282",,True
IFNa30h_enhancer_genes,552,ZBTB7A,590.0,"ARCHS4 Coexpression,1365;ENCODE ChIP-seq,76;Enrichr Queries,702;ReMap ChIP-seq,116;GTEx Coexpression,691",,True
IFNa30h_enhancer_genes,553,ZNF384,591.4,"ARCHS4 Coexpression,1292;ENCODE ChIP-seq,59;Enrichr Queries,287;ReMap ChIP-seq,137;GTEx Coexpression,1182",,True
IFNa30h_enhancer_genes,554,ZNF671,591.7,"ARCHS4 Coexpression,597;Enrichr Queries,742;GTEx Coexpression,436",,True
IFNa30h_enhancer_genes,555,SEBOX,592.0,"ARCHS4 Coexpression,936;Enrichr Queries,248",,True
IFNa30h_enhancer_genes,556,HOXC13,592.3,"ARCHS4 Coexpression,636;Enrichr Queries,1116;GTEx Coexpression,25",PARD6G,True
IFNa30h_enhancer_genes,557,ZIC5,593.3,"ARCHS4 Coexpression,172;Enrichr Queries,953;GTEx Coexpression,655",,True
IFNa30h_enhancer_genes,558,ZNF302,595.0,"ARCHS4 Coexpression,579;Enrichr Queries,905;GTEx Coexpression,301",,True
IFNa30h_enhancer_genes,559,PA2G4,597.0,"ARCHS4 Coexpression,800;GTEx Coexpression,394",,True
IFNa30h_enhancer_genes,560,ZBTB22,597.0,"ARCHS4 Coexpression,1071;Enrichr Queries,637;GTEx Coexpression,83",PARD6G,True
IFNa30h_enhancer_genes,561,HAND1,597.3,"ARCHS4 Coexpression,364;Enrichr Queries,1277;GTEx Coexpression,151",,True
IFNa30h_enhancer_genes,562,ZNF25,598.0,"ARCHS4 Coexpression,505;Enrichr Queries,792;GTEx Coexpression,497",,True
IFNa30h_enhancer_genes,563,MYCN,598.4,"Literature ChIP-seq,49;ARCHS4 Coexpression,789;Enrichr Queries,812;ReMap ChIP-seq,138;GTEx Coexpression,1204",,True
IFNa30h_enhancer_genes,564,NR4A2,598.5,"Literature ChIP-seq,151;ARCHS4 Coexpression,419;Enrichr Queries,728;GTEx Coexpression,1096",,True
IFNa30h_enhancer_genes,565,NKX12,598.5,"ARCHS4 Coexpression,664;GTEx Coexpression,533",,True
IFNa30h_enhancer_genes,566,HOXD13,598.8,"Literature ChIP-seq,149;ARCHS4 Coexpression,347;Enrichr Queries,1364;GTEx Coexpression,535",,True
IFNa30h_enhancer_genes,567,ZNF367,599.0,"ARCHS4 Coexpression,10;Enrichr Queries,1147;GTEx Coexpression,640","DDX11L16,DDX11L9",True
IFNa30h_enhancer_genes,568,HMX3,599.3,"ARCHS4 Coexpression,268;Enrichr Queries,1389;GTEx Coexpression,141",,True
IFNa30h_enhancer_genes,569,ZFP64,599.3,"ARCHS4 Coexpression,1465;Enrichr Queries,323;GTEx Coexpression,10",PARD6G,True
IFNa30h_enhancer_genes,570,SIX5,599.4,"ARCHS4 Coexpression,530;ENCODE ChIP-seq,9;Enrichr Queries,960;ReMap ChIP-seq,145;GTEx Coexpression,1353",OR4F16,True
IFNa30h_enhancer_genes,571,ZNF781,602.7,"ARCHS4 Coexpression,1195;Enrichr Queries,272;GTEx Coexpression,341",,True
IFNa30h_enhancer_genes,572,ONECUT2,602.7,"ARCHS4 Coexpression,562;Enrichr Queries,888;GTEx Coexpression,358",,True
IFNa30h_enhancer_genes,573,ZNF251,604.3,"ARCHS4 Coexpression,102;Enrichr Queries,512;GTEx Coexpression,1199",,True
IFNa30h_enhancer_genes,574,NEUROD2,604.5,"Literature ChIP-seq,81;ARCHS4 Coexpression,804;Enrichr Queries,1070;GTEx Coexpression,463",,True
IFNa30h_enhancer_genes,575,ZNF326,604.7,"ARCHS4 Coexpression,1147;Enrichr Queries,67;GTEx Coexpression,600",,True
IFNa30h_enhancer_genes,576,JUNB,605.0,"ARCHS4 Coexpression,982;Enrichr Queries,576;ReMap ChIP-seq,191;GTEx Coexpression,671",,True
IFNa30h_enhancer_genes,577,KMT2A,605.7,"ARCHS4 Coexpression,674;ReMap ChIP-seq,179;GTEx Coexpression,964",,True
IFNa30h_enhancer_genes,578,ZKSCAN3,605.7,"ARCHS4 Coexpression,1447;Enrichr Queries,96;GTEx Coexpression,274",,True
IFNa30h_enhancer_genes,579,LIN28A,606.0,"ARCHS4 Coexpression,168;GTEx Coexpression,1044",,True
IFNa30h_enhancer_genes,580,ZFP3,606.3,"ARCHS4 Coexpression,280;Enrichr Queries,593;GTEx Coexpression,946",,True
IFNa30h_enhancer_genes,581,LBX2,606.7,"ARCHS4 Coexpression,519;Enrichr Queries,682;GTEx Coexpression,619",,True
IFNa30h_enhancer_genes,582,EBF1,608.8,"ARCHS4 Coexpression,192;ENCODE ChIP-seq,23;Enrichr Queries,1207;ReMap ChIP-seq,63;GTEx Coexpression,1559",,True
IFNa30h_enhancer_genes,583,BHLHE22,609.0,"ARCHS4 Coexpression,1245;ReMap ChIP-seq,267;GTEx Coexpression,315",,True
